Recall noiseGS;Precision noiseGS;F1 score noiseGS;Classified correctly noiseGS;Recall noiseGSpsm1;Precision noiseGSpsm1;F1 score noiseGSpsm1;Classified correctly noiseGSpsm1;Recall GS;Precision GS;F1 score GS;Classified correctly GS;Recall Noise;Precision Noise;F1 score Noise;Classified correctly Noise
0.75;1;0.85714;1;0.875;1;0.93333;1;0.75;1;0.85714;1;0.875;0.875;0.875;1
1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0
0.66667;1;0.8;1;0.66667;1;0.8;1;0.66667;1;0.8;1;0.66667;1;0.8;1
0.75;1;0.85714;1;0.75;1;0.85714;1;0.75;1;0.85714;1;0.75;0.85714;0.8;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0
0.83333;1;0.90909;1;0.83333;1;0.90909;1;0.83333;1;0.90909;1;0.83333;0.83333;0.83333;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0.5;1;0.66667;1;0.5;1;0.66667;1;0.5;1;0.66667;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0.5;1;0.66667;1;0.5;1;0.66667;1;0.5;1;0.66667;1;0.5;1;0.66667;1
0.4;0.66667;0.5;1;0.6;0.75;0.66667;1;0.4;0.66667;0.5;1;0;0;0;0
0.5;1;0.66667;1;1;1;1;1;0.5;1;0.66667;1;0.5;1;0.66667;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;0.66667;1;0.8;1;0.66667;1;0.8;1;0.16667;1;0.28571;1
0.5;1;0.66667;1;0.5;1;0.66667;1;0.5;1;0.66667;1;0;0;0;0
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0.5;1;0.66667;1;0.5;1;0.66667;1;0.5;1;0.66667;1;0.5;1;0.66667;1
0.75;0.75;0.75;1;0.75;0.75;0.75;1;0.75;0.75;0.75;1;0.75;0.6;0.66667;1
1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;0.66667;1;0.8;1;0.83333;1;0.90909;1;0.66667;1;0.8;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;0.33333;0.5;1
0.5;1;0.66667;1;0;0;0;0;0;0;0;0;0.5;1;0.66667;1
0.57143;1;0.72727;1;0.57143;1;0.72727;1;0.57143;1;0.72727;1;0.57143;1;0.72727;1
1;1;1;1;1;1;1;1;1;1;1;1;0.5;1;0.66667;1
0.66667;0.66667;0.66667;1;0.66667;0.66667;0.66667;1;0.66667;0.66667;0.66667;1;0.66667;1;0.8;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;0.5;0.66667;1;1;0.5;0.66667;1;1;0.5;0.66667;1;1;0.5;0.66667;1
1;0.5;0.66667;1;1;0.5;0.66667;1;1;0.5;0.66667;1;1;0.5;0.66667;1
1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0.66667;1;0.8;1;0.66667;1;0.8;1;0.66667;1;0.8;1;0.66667;1;0.8;1
1;1;1;1;1;1;1;1;1;1;1;1;1;0.66667;0.8;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0.83333;1;0.90909;1;0.83333;1;0.90909;1;0.83333;1;0.90909;1;0.83333;1;0.90909;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
